"","year","wgr","masters_finish","total_score","ranking","top_10","wins","score_average","rounds","bounce_back","driving_accuracy","driving_distance","par5_SA","gir","hole_proximity","putts_round","scramble","sg_putt","sg_t2g","sg_total","points_gained","m_cut","top_25","new_score","m_play"
"1",2006,26,52,307,98,2,1,71.197,78,19.3,60.73,288.3,4.64,58.26,3928.25,27.96,59.37,0.595,-0.517,0.001,90.66,"1","0",307,"0"
"2",2007,18,99,148,44,7,1,70.088,83,18.07,60,291.9,4.56,60.35,3627.833,28.26,60.6,0.629,0.435,1.064,27.925,"0","0",308,"1"
"3",2008,52,17,284,34,3,0,70.196,76,20.2,59.45,290.3,4.61,62.02,3466.333,28.38,58.52,0.762,0.123,0.885,15.851,"1","1",284,"1"
"4",2010,69,47,293,31,2,0,70.995,94,27.72,56.65,298.9,4.69,64.6,4551,28.57,57.1,0.509,-0.294,0.208,81.498,"1","0",293,"1"
"5",2011,39,40,293,24,5,1,70.23,77,26.15,55.67,296.2,4.59,65.48,3095.917,28.39,59.44,0.324,0.824,1.148,35.244,"1","0",293,"1"
"6",2016,46,36,294,17,2,0,70.719,93,25.4,63.62,290.1,4.66,66.07,4395.667,28.55,58.27,0.529,-0.003,0.526,97.086,"1","0",294,"0"
"7",2017,43,24,287,40,5,1,70.583,98,18.07,62.85,290.7,4.66,64.89,4101.167,28.43,63.47,0.47,0.17,0.64,50.063,"1","1",287,"1"
"8",2005,11,27,292,81,6,0,70.198,72,23.35,57.4,300.1,4.6,67.24,2314.167,29.43,55.36,0.016,1.03,1.047,57.16,"1","0",292,"0"
"9",2006,3,27,300,3,10,1,68.946,70,19.35,62,301.1,4.61,69.12,2473.25,29.28,57.94,-0.13,2.23,2.08,79.98,"1","0",300,"1"
"10",2007,6,25,292,11,6,1,70.008,69,23.61,59.17,300.9,4.6,65.44,2730.75,29.34,52.01,0.129,1.105,1.234,71,"1","1",292,"1"
"11",2008,23,99,146,28,3,1,70.06,51,19.19,54.66,302.1,4.59,63.72,1606.167,29.73,53.44,-0.44,1.299,0.859,30.454,"0","0",306,"1"
"12",2009,51,18,287,173,1,0,71.72,53,22.04,58.77,294.9,4.63,62.82,2166.75,30.1,53.16,-0.881,0.22,-0.66,8.359,"1","1",287,"1"
"13",2010,28,2,276,13,4,1,70.468,70,21.94,62.93,294.4,4.67,69.61,2392.75,30.07,54.03,-0.746,1.609,0.862,19.238,"1","1",276,"1"
"14",2011,13,8,284,2,7,1,69.872,60,25,63.98,299.7,4.56,68.08,2356.333,29.39,59,-0.247,0.882,0.635,14.124,"1","1",284,"1"
"15",2012,7,1,279,23,5,0,69.533,59,22.42,59.61,304.6,4.57,66.57,2031.417,29.53,55.87,-0.138,1.302,1.164,33.047,"1","1",279,"1"
"16",2013,2,14,289,10,6,2,69.3,61,15,61.84,297.8,4.58,68.8,2046.417,29.52,56.38,-0.027,1.337,1.31,43.63,"1","1",289,"1"
"17",2014,6,38,289,1,10,1,69.205,68,20.73,61.51,303.5,4.48,68.79,2699.333,28.76,60.73,0.22,1.5,1.72,22.71,"1","0",289,"1"
"18",2015,6,42,299,26,3,0,70.456,51,20.74,60.69,311.6,4.58,69.62,1564,30.11,54.09,-0.396,0.601,0.206,173.212,"1","0",299,"1"
"19",2016,9,9,286,6,9,2,69.47,79,21.81,55.55,304.6,4.58,70.76,2263.667,29.5,59.5,-0.168,2.062,1.894,18.154,"1","1",286,"1"
"20",2017,60,32,289,36,4,0,69.996,58,23.72,55.99,306.1,4.67,66.87,2206.25,29.29,59.28,0.056,1.01,1.066,11.593,"1","0",289,"1"
"21",2010,178,35,288,151,4,0,71.219,81,19.92,70.31,277.4,4.76,66.6,2897.417,29.7,56.42,-0.466,0.396,-0.073,7.202,"1","0",288,"0"
"22",2007,52,99,155,180,0,0,70.856,55,12.42,66.95,280.7,4.73,62.85,1847.833,29.78,55.13,-0.176,0.087,-0.089,10.408,"0","0",315,"0"
"23",2008,41,49,298,146,3,1,70.816,69,16.3,52.83,299.1,4.68,58.79,2951,28.49,57.75,0.008,-0.414,-0.406,25.403,"1","0",298,"0"
"24",2008,13,20,286,2,8,2,69.279,81,21.78,58.34,300.9,4.55,65.78,3266.667,28.85,59.32,0.362,1.117,1.479,30.54,"1","1",286,"0"
"25",2009,26,3,276,34,3,0,70.507,76,18.5,53.65,299,4.58,62.69,3151.917,28.36,57.14,0.245,0.235,0.479,45.191,"1","1",276,"1"
"26",2005,44,14,288,53,4,0,70.317,65,19.53,66.7,283.5,4.7,66.84,2680.917,29.3,59.31,0.149,0.315,0.464,72.25,"1","1",288,"0"
"27",2006,38,58,310,39,4,1,69.858,82,20,62.53,285,4.58,69.27,2853.917,29.56,57.67,0.167,0.927,0.988,18.55,"1","0",310,"1"
"28",2007,36,25,292,127,5,0,69.807,69,19.39,61.7,285.5,4.74,62.25,2675.5,28.81,59.74,0.362,0.821,1.183,7.471,"1","1",292,"1"
"29",2005,35,99,149,19,4,2,70.187,91,20.25,73,283.2,4.62,68.93,3987.5,29.53,56.58,0.298,0.772,1.07,17.97,"0","0",309,"0"
"30",2006,35,99,154,129,2,0,70.745,87,20.85,72.76,282.2,4.72,68.67,3216.25,30.06,55.46,-0.138,0.533,0.433,50.06,"0","0",314,"1"
"31",2005,40,99,149,11,6,1,69.7,78,23.92,56.63,293.1,4.62,62.39,3561,27.96,60.08,0.939,0,0.939,12.05,"0","0",309,"0"
"32",2006,64,99,157,83,3,0,70.834,85,19.59,63.51,285.8,4.65,62.01,3328.667,28.46,56.49,0.849,-0.369,0.613,0,"0","0",317,"1"
"33",2009,55,24,288,15,4,0,70.376,93,20.58,67.75,285,4.66,64.87,3615.583,28.49,62.07,0.431,0.344,0.775,58.219,"1","1",288,"1"
"34",2010,39,99,148,2,5,1,70.234,85,23.81,71.13,282.3,4.67,68.22,3053.167,29.07,59.06,0.266,0.594,0.862,20.203,"0","0",308,"1"
"35",2011,48,17,287,85,4,1,70.434,76,16.75,67.06,284.9,4.73,66.36,3282.083,29.08,61.31,0.134,0.356,0.49,49.792,"1","1",287,"1"
"36",2014,181,99,157,113,2,1,70.954,81,18.67,66.4,279,4.84,63.44,3894.417,28.78,59.1,0.138,-0.29,-0.152,2.073,"0","0",317,"1"
"37",2005,174,39,295,197,2,0,72.393,65,12.33,63.41,280,4.88,61.88,2960.833,29.51,53.59,-0.101,-0.857,-0.958,0,"1","0",295,"0"
"38",2006,62,99,156,180,2,2,71.192,86,14.46,66.61,278.8,4.72,65.25,3226.667,29.5,56.88,0.077,-0.144,0.113,0,"0","0",316,"1"
"39",2007,168,99,150,194,2,0,71.582,80,12.32,67.37,277.1,4.78,60.56,3768.667,29.48,52.46,-0.188,-0.561,-0.749,1.98,"0","0",310,"1"
"40",2008,36,35,288,47,5,0,69.981,80,17.33,67.2,284.7,4.7,63.45,2913.167,28.92,59.2,0.321,0.44,0.761,8.761,"1","0",288,"1"
"41",2009,73,99,148,153,1,0,70.978,63,17.44,64.75,279.5,4.7,64.25,2667.583,29.24,58.65,0.766,-0.515,0.251,13.283,"0","0",308,"1"
"42",2012,105,99,151,83,3,1,70.538,62,23.03,69.7,274.8,4.71,68.87,2214.5,29.36,58.46,0.505,0.401,0.906,8.221,"0","0",311,"1"
