"","year","player_name","ranking","top_10","wins","score_average","rounds","bounce_back","driving_accuracy","driving_distance","par5_SA","gir","hole_proximity","putts_round","scramble","sg_putt","sg_t2g","masters_finish","total_score","sg_total","wgr"
"1",2005,"Aaron Baddeley","81",5,0,71.261,84,20.24,53.32,291.4,4.65,60.84,4368.667,28.09,58.82,0.575,-0.815,NA,NA,-0.24,"126"
"2",2006,"Aaron Baddeley","98",2,1,71.197,78,19.3,60.73,288.3,4.64,58.26,3928.25,27.96,59.37,0.595,-0.517,NA,NA,0.001,"198"
"3",2007,"Aaron Baddeley","44",7,1,70.088,83,18.07,60,291.9,4.56,60.35,3627.833,28.26,60.6,0.629,0.435,"52","307",1.064,"26"
"4",2008,"Aaron Baddeley","34",3,0,70.196,76,20.2,59.45,290.3,4.61,62.02,3466.333,28.38,58.52,0.762,0.123,"99","148",0.885,"18"
"5",2009,"Aaron Baddeley","111",2,0,71.153,66,17.17,56.48,287.8,4.67,59.57,3211.083,28.09,58.35,0.604,-0.755,"17","284",-0.151,"52"
"6",2010,"Aaron Baddeley","31",2,0,70.995,94,27.72,56.65,298.9,4.69,64.6,4551,28.57,57.1,0.509,-0.294,NA,NA,0.208,"197"
"7",2011,"Aaron Baddeley","24",5,1,70.23,77,26.15,55.67,296.2,4.59,65.48,3095.917,28.39,59.44,0.324,0.824,"47","293",1.148,"69"
"8",2012,"Aaron Baddeley","108",3,0,71.113,73,18.97,54.3,292,4.65,58.1,3159.833,28.07,59.85,0.604,-0.461,"40","293",0.143,"39"
"9",2013,"Aaron Baddeley","99",2,0,71.503,68,21.52,50.71,288.5,4.61,58,3457.167,27.8,57.72,0.661,-0.979,NA,NA,-0.319,"97"
"10",2014,"Aaron Baddeley","110",2,0,70.796,74,20.36,52.29,293.8,4.62,59.8,3448.083,28.15,60.27,0.872,-0.828,NA,NA,0.044,"209"
"11",2015,"Aaron Baddeley","77",1,0,71.218,76,21.08,50.29,294.1,4.57,62.46,3641.25,28.28,61,0.722,-0.945,NA,NA,-0.223,"241"
"12",2016,"Aaron Baddeley","54",5,1,70.888,93,24.24,55.42,291.7,4.64,63.11,3747.583,28.06,64.3,0.581,-0.347,NA,NA,0.234,"280"
"13",2017,"Aaron Baddeley","139",2,0,71.483,61,25.64,52.25,292.6,4.7,62.57,2464.083,28.49,59.9,0.044,-0.216,NA,NA,-0.172,"133"
"14",2018,"Aaron Baddeley","141",1,0,70.85,84,19.25,53.27,295.3,4.67,63.39,3521.417,28.85,61.09,-0.057,0.366,NA,NA,0.309,"225"
"15",2013,"Aaron Watkins","157",1,0,71.77,46,19.26,63.03,277.1,4.68,62.25,1745.917,28.75,59.53,0.402,-0.991,NA,NA,-0.589,"81"
"16",2018,"Aaron Wise","24",4,1,70.247,90,21.63,63.33,302.9,4.63,68.81,4348.917,29.15,56.28,0.238,0.464,NA,NA,0.703,"195"
"17",2016,"Abraham Ancer","181",0,0,72.137,51,20.38,65.42,276.4,4.8,61.81,1944.417,29.06,56.67,-0.421,-0.307,NA,NA,-0.727,"98"
"18",2018,"Abraham Ancer","78",5,0,70.659,98,17.7,63.64,296.1,4.63,66.49,4501.25,28.91,62.69,-0.056,0.376,NA,NA,0.32,"185"
"19",2015,"Adam Hadwin","85",3,0,71.021,95,20.88,65.43,288.2,4.68,66.55,4157,29.15,58.39,0.235,-0.051,NA,NA,0.183,"182"
"20",2016,"Adam Hadwin","17",2,0,70.719,93,25.4,63.62,290.1,4.66,66.07,4395.667,28.55,58.27,0.529,-0.003,NA,NA,0.526,"185"
"21",2017,"Adam Hadwin","40",5,1,70.583,98,18.07,62.85,290.7,4.66,64.89,4101.167,28.43,63.47,0.47,0.17,"36","294",0.64,"46"
"22",2018,"Adam Hadwin","128",3,0,70.75,92,19.31,65.6,289.4,4.7,68.04,3343.667,29.26,58.59,0.106,0.49,"24","287",0.596,"43"
"23",2018,"Adam Schenk","161",1,0,71.37,86,18.78,57.67,305.5,4.68,67.92,3995.083,29.95,54.55,0.13,-0.28,NA,NA,-0.15,"291"
"24",2005,"Adam Scott","81",6,0,70.198,72,23.35,57.4,300.1,4.6,67.24,2314.167,29.43,55.36,0.016,1.03,"33","294",1.047,"9"
"25",2006,"Adam Scott","3",10,1,68.946,70,19.35,62,301.1,4.61,69.12,2473.25,29.28,57.94,-0.13,2.23,"27","292",2.08,"11"
"26",2007,"Adam Scott","11",6,1,70.008,69,23.61,59.17,300.9,4.6,65.44,2730.75,29.34,52.01,0.129,1.105,"27","300",1.234,"3"
"27",2008,"Adam Scott","28",3,1,70.06,51,19.19,54.66,302.1,4.59,63.72,1606.167,29.73,53.44,-0.44,1.299,"25","292",0.859,"6"
"28",2009,"Adam Scott","173",1,0,71.72,53,22.04,58.77,294.9,4.63,62.82,2166.75,30.1,53.16,-0.881,0.22,"99","146",-0.66,"23"
"29",2010,"Adam Scott","13",4,1,70.468,70,21.94,62.93,294.4,4.67,69.61,2392.75,30.07,54.03,-0.746,1.609,"18","287",0.862,"51"
"30",2011,"Adam Scott","2",7,1,69.872,60,25,63.98,299.7,4.56,68.08,2356.333,29.39,59,-0.247,0.882,"2","276",0.635,"28"
"31",2012,"Adam Scott","23",5,0,69.533,59,22.42,59.61,304.6,4.57,66.57,2031.417,29.53,55.87,-0.138,1.302,"8","284",1.164,"13"
"32",2013,"Adam Scott","10",6,2,69.3,61,15,61.84,297.8,4.58,68.8,2046.417,29.52,56.38,-0.027,1.337,"1","279",1.31,"7"
