"","wgr","player_name","points_gained","year"
"1","1","Vijay Singh","175.95",2004
"2","2","Tiger Woods","156.75",2004
"3","3","Ernie Els","145.77",2004
"4","4","Phil Mickelson","169.29",2004
"5","5","Retief Goosen","75.36",2004
"6","6","Padraig Harrington","59.71",2004
"7","7","Sergio Garcia","29.21",2004
"8","8","David Toms","135.31",2004
"9","9","Adam Scott","93.25",2004
"10","10","Stewart Cink","62.44",2004
"11","11","Mike Weir","47.74",2004
"12","12","Davis Love-III","31.81",2004
"13","13","Stuart Appleby","64.05",2004
"14","14","Kenny Perry","89.54",2004
"15","15","Chris DiMarco","47.42",2004
"16","16","Luke Donald","84.49",2004
"17","17","Darren Clarke","44.11",2004
"18","18","Miguel A Jimenez","29.44",2004
"19","19","Chad Campbell","51.60",2004
"20","20","Scott Verplank","43.51",2004
"21","21","Tom Lehman","77.01",2004
"22","22","Fred Funk","99.24",2004
"23","23","Stephen Ames","13.10",2004
"24","24","Shigeki Maruyama","40.20",2004
"25","25","Justin Leonard","59.34",2004
"26","26","Lee Westwood","23.64",2004
"27","27","Angel Cabrera","18.27",2004
"28","28","Tim Clark","84.20",2004
"29","29","Jim Furyk","31.55",2004
"30","30","Choi Kyung-Ju","23.87",2004
"31","31","Thomas Bjorn","20.61",2004
"32","32","Nick O'Hern","44.58",2004
"33","33","Todd Hamilton","11.83",2004
"34","34","Paul Casey","26.62",2004
"35","35","Craig Parry","71.56",2004
"36","36","Fred Couples","21.49",2004
"37","37","Zach Johnson","58.02",2004
"38","38","Charles Howell-III","65.18",2004
"39","39","Graeme McDowell","54.81",2004
"40","40","Jay Haas","19.23",2004
"41","41","Robert Allenby","31.46",2004
"42","42","Jerry Kelly","23.80",2004
"43","43","Ian Poulter","30.63",2004
"44","44","Jonathan Kaye","44.57",2004
"45","45","Peter Lonard","29.40",2004
"46","46","Rory Sabbatini","10.74",2004
"47","47","Tim Herron","49.99",2004
"48","48","Steve Flesch","19.33",2004
"49","49","David Howell","16.91",2004
"50","50","Mark Hensby","10.70",2004
"51","51","Thomas Levet","+",2004
"52","52","John Daly","+",2004
"53","53","Richard Green","+",2004
"54","54","Colin Montgomerie","+",2004
"55","55","Geoff Ogilvy","+",2004
"56","56","Rod Pampling","+",2004
"57","57","Joe Ogilvie","+",2004
"58","58","Chris Riley","+",2004
"59","59","Jeff Maggert","+",2004
"60","60","Fredrik Jacobson","+",2004
"61","61","Kirk Triplett","+",2004
"62","62","Trevor Immelman","+",2004
"63","63","Alex Cejka","+",2004
"64","64","Paul McGinley","+",2004
"65","65","Thongchai Jaidee","+",2004
"66","66","Loren Roberts","+",2004
"67","67","Arron Oberholser","+",2004
"68","68","Joakim Haeggman","+",2004
"69","69","Scott McCarron","+",2004
"70","70","Duffy Waldorf","+",2004
"71","71","Shingo Katayama","+",2004
"72","72","Nick Price","+",2004
"73","73","Bart Bryant","+",2004
"74","74","Bernhard Langer","+",2004
"75","75","Toru Taniguchi","+",2004
"76","76","Stephen Gallacher","+",2004
"77","77","Brad Faxon","+",2004
"78","78","Bob Tway","+",2004
"79","79","Brian Davis","+",2004
"80","80","Jesper Parnevik","+",2004
"81","81","Stephen Leaney","+",2004
"82","82","Kevin Na","+",2004
"83","83","Henrik Stenson","+",2004
"84","84","Briny Baird","+",2004
"85","85","Justin Rose","+",2004
"86","86","Jyoti Randhawa","+",2004
"87","87","Carlos Franco","+",2004
"88","88","Raphael Jacquelin","+",2004
"89","89","Yang Yong-Eun","+",2004
"90","90","Bob Estes","+",2004
"91","91","Brent Geiberger","+",2004
"92","92","Joe Durant","+",2004
